"기간별(1)",2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023
"기간별(1)",합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시),합계,오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시)
"10년 평균",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,440,35,149,208,49,474,37,162,221,54,481,39,162,223,56,537,46,181,245,66,567,49,192,256,70
"금년",282,21,103,126,32,277,9,106,138,24,197,16,56,98,27,296,16,106,140,34,492,43,147,250,52,623,60,191,302,70,391,22,148,180,41,692,56,231,338,67,496,48,168,233,47,653,60,227,272,94,620,43,233,264,80,349,32,115,150,52,756,75,238,316,127,596,54,221,248,73
